id,at,actor,action,tbl,row_key,changes
1,2026-08-25T19:52:45.221577+00:00,setup check,insert,measurements,1900-01-01 / plant 999,"{""lai"":null,""note"":""connection test"",""spad"":null,""leaves"":null,""obs_date"":""1900-01-01"",""plant_id"":999,""height_cm"":1,""updated_at"":""2026-08-25T19:52:45.221577+00:00"",""recorded_by"":""setup check"",""internode_cm"":null}"
2,2026-08-25T19:52:46.100838+00:00,setup check,delete,measurements,1900-01-01 / plant 999,"{""lai"":null,""note"":""connection test"",""spad"":null,""leaves"":null,""obs_date"":""1900-01-01"",""plant_id"":999,""height_cm"":1,""updated_at"":""2026-08-25T19:52:45.221577+00:00"",""recorded_by"":""setup check"",""internode_cm"":null}"
3,2026-08-25T19:53:06.459155+00:00,setup check,insert,measurements,1900-01-01 / plant 999,"{""lai"":null,""note"":""delete-protection test"",""spad"":null,""leaves"":null,""obs_date"":""1900-01-01"",""plant_id"":999,""height_cm"":1,""updated_at"":""2026-08-25T19:53:06.459155+00:00"",""recorded_by"":""setup check"",""internode_cm"":null}"
4,2026-08-25T19:53:07.880825+00:00,setup check,delete,measurements,1900-01-01 / plant 999,"{""lai"":null,""note"":""delete-protection test"",""spad"":null,""leaves"":null,""obs_date"":""1900-01-01"",""plant_id"":999,""height_cm"":1,""updated_at"":""2026-08-25T19:53:06.459155+00:00"",""recorded_by"":""setup check"",""internode_cm"":null}"
5,2026-09-15T17:17:56.355232+00:00,Emma,insert,plants,plant 1 (H1),"{""id"":1,""rep"":""1"",""sort"":1,""label"":""H1"",""notes"":"""",""active"":true,""sown_on"":""2026-09-04"",""container"":""5-gal"",""treatment"":""High 5%"",""created_at"":""2026-09-15T17:17:56.015+00:00"",""seeds_sown"":1,""updated_at"":""2026-09-15T17:17:56.015+00:00"",""updated_by"":""Emma"",""seed_depth_in"":0.5}"
6,2026-09-15T17:18:08.289261+00:00,Emma,insert,plants,plant 2 (H2),"{""id"":2,""rep"":""2"",""sort"":2,""label"":""H2"",""notes"":"""",""active"":true,""sown_on"":""2026-09-04"",""container"":""5-gal"",""treatment"":""High 5%"",""created_at"":""2026-09-15T17:18:08.152+00:00"",""seeds_sown"":1,""updated_at"":""2026-09-15T17:18:08.152+00:00"",""updated_by"":""Emma"",""seed_depth_in"":0.5}"
7,2026-09-15T17:18:11.639733+00:00,Emma,insert,plants,plant 3 (H3),"{""id"":3,""rep"":""3"",""sort"":3,""label"":""H3"",""notes"":"""",""active"":true,""sown_on"":""2026-09-04"",""container"":""5-gal"",""treatment"":""High 5%"",""created_at"":""2026-09-15T17:18:11.509+00:00"",""seeds_sown"":1,""updated_at"":""2026-09-15T17:18:11.509+00:00"",""updated_by"":""Emma"",""seed_depth_in"":0.5}"
8,2026-09-15T17:18:24.486169+00:00,Emma,insert,plants,plant 4 (L1),"{""id"":4,""rep"":""1"",""sort"":4,""label"":""L1"",""notes"":"""",""active"":true,""sown_on"":""2026-09-04"",""container"":""5-gal"",""treatment"":""Low 2%"",""created_at"":""2026-09-15T17:18:24.347+00:00"",""seeds_sown"":1,""updated_at"":""2026-09-15T17:18:24.347+00:00"",""updated_by"":""Emma"",""seed_depth_in"":0.5}"
9,2026-09-15T17:18:29.141586+00:00,Emma,insert,plants,plant 5 (L2),"{""id"":5,""rep"":""2"",""sort"":5,""label"":""L2"",""notes"":"""",""active"":true,""sown_on"":""2026-09-04"",""container"":""5-gal"",""treatment"":""Low 2%"",""created_at"":""2026-09-15T17:18:28.997+00:00"",""seeds_sown"":1,""updated_at"":""2026-09-15T17:18:28.997+00:00"",""updated_by"":""Emma"",""seed_depth_in"":0.5}"
10,2026-09-15T17:18:34.448202+00:00,Emma,insert,plants,plant 6 (L3),"{""id"":6,""rep"":""3"",""sort"":6,""label"":""L3"",""notes"":"""",""active"":true,""sown_on"":""2026-09-04"",""container"":""5-gal"",""treatment"":""Low 2%"",""created_at"":""2026-09-15T17:18:34.31+00:00"",""seeds_sown"":1,""updated_at"":""2026-09-15T17:18:34.31+00:00"",""updated_by"":""Emma"",""seed_depth_in"":0.5}"
