id,label,treatment,rep,container,sown_on,seed_depth_in,seeds_sown,notes,active,sort,created_at,updated_at,updated_by
1,H1,High 5%,1,5-gal,2026-09-04,0.5,1,,true,1,2026-09-15T17:17:56.015+00:00,2026-09-15T17:17:56.015+00:00,Emma
2,H2,High 5%,2,5-gal,2026-09-04,0.5,1,,true,2,2026-09-15T17:18:08.152+00:00,2026-09-15T17:18:08.152+00:00,Emma
3,H3,High 5%,3,5-gal,2026-09-04,0.5,1,,true,3,2026-09-15T17:18:11.509+00:00,2026-09-15T17:18:11.509+00:00,Emma
4,L1,Low 2%,1,5-gal,2026-09-04,0.5,1,,true,4,2026-09-15T17:18:24.347+00:00,2026-09-15T17:18:24.347+00:00,Emma
5,L2,Low 2%,2,5-gal,2026-09-04,0.5,1,,true,5,2026-09-15T17:18:28.997+00:00,2026-09-15T17:18:28.997+00:00,Emma
6,L3,Low 2%,3,5-gal,2026-09-04,0.5,1,,true,6,2026-09-15T17:18:34.31+00:00,2026-09-15T17:18:34.31+00:00,Emma
7,C1,Control,1,5-gal,2026-09-04,0.5,1,,true,7,2026-09-15T17:18:41.02+00:00,2026-09-15T17:18:41.02+00:00,Emma
8,C2,Control,2,5-gal,2026-09-04,0.5,1,,true,8,2026-09-15T17:18:44.734+00:00,2026-09-15T17:18:44.734+00:00,Emma
9,C3,Control,3,5-gal,2026-09-04,0.5,1,,true,9,2026-09-15T17:18:47.763+00:00,2026-09-15T17:18:47.763+00:00,Emma
10,E1,,1,5-gal,2026-09-04,0.5,1,,true,10,2026-09-15T17:18:54.033+00:00,2026-09-15T17:18:54.033+00:00,Emma
11,E2,,2,5-gal,2026-09-04,0.5,1,,true,11,2026-09-15T17:18:59.418+00:00,2026-09-15T17:18:59.418+00:00,Emma
12,E3,,3,5-gal,2026-09-04,0.5,1,,true,12,2026-09-15T17:19:02.656+00:00,2026-09-15T17:19:02.656+00:00,Emma
