wx_date,temp_max_f,temp_min_f,temp_mean_f,rain_in,humidity_pct,cloud_pct,wind_max_mph,et0_in,solar_mj,source,updated_at
2026-08-24,95.2,77.9,85.7,0,75,16,13.8,0.248,26.6,open-meteo,2026-08-31T14:03:50.774+00:00
2026-08-25,93.2,78.2,85.4,0,77,12,14.4,0.232,26,open-meteo,2026-08-31T14:03:50.774+00:00
2026-08-26,95.2,78.6,86.3,0,76,15,12,0.236,25.5,open-meteo,2026-08-31T14:03:50.774+00:00
2026-08-27,95.3,77,85.7,0,75,4,14.5,0.241,25.8,open-meteo,2026-09-03T14:15:56.504+00:00
2026-08-28,94.4,78.4,85.5,0,77,14,12.9,0.224,25,open-meteo,2026-09-03T14:15:56.505+00:00
2026-08-29,90.5,78.5,84.7,0,80,41,12.4,0.207,23.8,open-meteo,2026-09-03T14:15:56.505+00:00
2026-08-30,92.9,79.6,85.6,0,79,21,14.7,0.208,22.7,open-meteo,2026-09-03T14:15:56.505+00:00
2026-08-31,94.5,79.8,86.1,0,76,10,14,0.235,25.3,open-meteo,2026-09-03T14:15:56.505+00:00
2026-09-01,94.1,78.4,85.5,0,77,8,15,0.226,24.7,open-meteo,2026-09-03T14:15:56.505+00:00
2026-09-02,94.4,79.5,86.2,0,78,7,16.8,0.24,25.5,open-meteo,2026-09-09T22:49:40.994+00:00
2026-09-03,93.5,81.4,86.7,0,78,27,16.5,0.238,25,open-meteo,2026-09-09T22:49:40.994+00:00
2026-09-04,94.2,80.1,86,0,78,19,15.5,0.225,24.2,open-meteo,2026-09-09T22:49:40.994+00:00
2026-09-05,93.3,79.8,85.3,0,81,21,13.6,0.205,22.9,open-meteo,2026-09-09T22:49:40.994+00:00
2026-09-06,92.6,77.4,85.3,0,79,14,14.4,0.213,23.3,open-meteo,2026-09-09T22:49:40.994+00:00
2026-09-07,93.6,78.9,86.1,0,79,10,14.3,0.214,22.9,open-meteo,2026-09-09T22:49:40.994+00:00
2026-09-08,94.2,80,86.3,0,79,11,13.8,0.209,22.1,open-meteo,2026-09-09T22:49:40.994+00:00
2026-09-09,92.8,80.3,85.7,0,79,19,15.4,0.199,21.3,open-meteo,2026-09-09T22:49:40.994+00:00
